fold,mae,rmse
126,0.10813931361448594,0.13681282146344007
127,0.11130304479571679,0.15070062400431528
128,0.11446698916538066,0.1522151383374668
129,0.10072108028212004,0.13859343541920793
130,0.08874045311928459,0.12793637935437127
131,0.06919780749023348,0.09534468402671833
132,0.07973191939194839,0.11782730634019371
133,0.09308548310239473,0.14438947574802857
134,0.09740007142931023,0.14015615231677397
135,0.14739405744589112,0.1838725303345878
136,0.1210745436065915,0.15432528726678663
137,0.12594708971098065,0.18043761956686072
138,0.1102506048791543,0.14075259888795108
139,0.12132105641276598,0.17718763202058144
140,0.11729644947368241,0.14623820746032654
141,0.10893987616146598,0.15333702383289247
142,0.12462583407734082,0.1672452802084026
143,0.12253495876355201,0.16493530686548594
144,0.15017086907961696,0.1941959964040845
145,0.10790478271471188,0.15345242276381862
146,0.13925415257894774,0.18323794259968476
147,0.1670934365410566,0.2197743091866289
148,0.111399634418055,0.15945880665328868
149,0.14114072580784057,0.19177343918203327
150,0.09539719548958692,0.12803748093754327
151,0.13807760147655948,0.19913558743812398
152,0.1328827717564477,0.1798218129567104
153,0.15604332887451508,0.20709517711888872
154,0.12181664590719274,0.15335305051720693
155,0.16287977092212902,0.20570569755613644
156,0.10883649142581603,0.15459197697035532
157,0.13820619752717156,0.18512749555174626
158,0.11374918454190185,0.1546208673724825
159,0.12086712428624935,0.15121488441645545
160,0.12782601731384355,0.16386998202297073
161,0.15355049691743938,0.18356968075363778
162,0.1601792275738388,0.21435086255143485
163,0.14052615831394014,0.17438754521731376
164,0.13332803829246978,0.17235405204977108
165,0.17011479825824602,0.2147519602948293
166,0.1672066167205685,0.20602244519962615
167,0.12888649912637906,0.1640177523238787
168,0.1526629327268707,0.2004490591109799
169,0.11617995924763591,0.14850863596692623
170,0.16226761743413326,0.21903883387310202
171,0.1226770813763271,0.15351807067826728
172,0.1298009360022125,0.1868855042897155
173,0.1543506379860634,0.2140550541501453
174,0.11328297033651179,0.1605645661165709
175,0.18313176780171353,0.2546922161715755
176,0.14039294753885684,0.17750017951235417
177,0.16940175238507846,0.22817649950687932
178,0.13530681409253764,0.18134368872527096
179,0.10827595839257081,0.15447839460395255
180,0.12938985270261147,0.16886820855572693
181,0.10796377284872614,0.13499313395927018
182,0.08770069142926079,0.11771425385158793
183,0.1287469519544688,0.17559770173993844
184,0.10917623345534976,0.1452687307138028
185,0.09705969962283126,0.12478200206053415
186,0.10053036749227218,0.13930808818149806
187,0.0865062104016034,0.1133927263555282
188,0.10938756522179359,0.14270682762142625
189,0.16765047876245676,0.20915641641079763
190,0.15906120485502595,0.21233022230535298
191,0.08881385512238733,0.12425843575346508
192,0.07420097845179383,0.10984560909267856
193,0.12157365592761525,0.15012247704232162
194,0.10342972647317351,0.13391581297528932
195,0.10813091306733583,0.13513596365860628
196,0.14072835392775424,0.1953546304443482
197,0.11158657564470742,0.1366790823607158
198,0.11991305965695792,0.15350993543200867
199,0.1403743046812758,0.1673721402926762
200,0.12097676088613396,0.15563655083897113
201,0.10346403184211944,0.14536957571631803
202,0.10935808222312669,0.14684747194404768
203,0.06917336620023741,0.08742250569231474
204,0.09338829810035205,0.13200035905226082
205,0.10939192443319343,0.1481303952873885
206,0.10891574871543569,0.15918126656089523
207,0.12965053971512133,0.1620306739968535
208,0.10786982065258996,0.15013453982210379
209,0.09886786519547729,0.134215898868276
210,0.08593088861586376,0.12069093933478431
211,0.09972821377065877,0.13020788016304713
212,0.12204677122685562,0.15175123118316636
213,0.0847314834726502,0.12570702303939146
214,0.06580005402142089,0.08831542643068176
215,0.09316663317189666,0.13846578608009216
216,0.10296471226541799,0.1596150621442016
217,0.07700113412816442,0.10758044216363594
218,0.07538793559893198,0.11339882876463515
219,0.08859621212188061,0.1147467435209362
220,0.11565487436174574,0.1816317433652525
221,0.07215060334532249,0.10939449460310267
222,0.10806288182365922,0.16282444455711165
223,0.10481285913627487,0.16163537175274584
224,0.09721348414017754,0.14639718131011573
225,0.10661585398007765,0.15660868622031207
226,0.09978139110298942,0.13492489735933103
227,0.14116445095738778,0.19836043271279893
228,0.10036447894451678,0.13871779779047355
229,0.07597489407441979,0.0997694321151299
230,0.12109200336312669,0.15597449768147592
231,0.10585041317330683,0.135771441609277
232,0.11172905308374531,0.1519271667086747
233,0.13092262135734653,0.17917283447673574
234,0.1461583693897143,0.1938670825899702
235,0.14735530972721952,0.20196548441064743
236,0.12968272214555104,0.19481899845927353
237,0.1478136472175878,0.21182818623968674
238,0.14306964477271303,0.2142459727109754
239,0.15666621627609456,0.21353543159503038
240,0.1292708991788519,0.18351835874627764
241,0.10360686812203385,0.15958425491904876
242,0.09059239184855071,0.13383934812406387
243,0.14453499867122846,0.2213172972898642
244,0.12861463800070047,0.18512542246844932
245,0.11904747590674562,0.1647212247167162
246,0.1305295702780417,0.1811259196441286
247,0.1634059319745142,0.22428875343197976
248,0.13221131450572696,0.20310995384768507
249,0.1580351052454974,0.22216229170311716
250,0.17024002618982126,0.229471914870139
251,0.12357832782385572,0.19835320273546994
252,0.15498342271606866,0.23304281402550497
253,0.13645761321573907,0.20105759371356874
254,0.26956050940217297,0.3081809107101454
255,0.16143085065725682,0.20426805534251202
256,0.17459396689303094,0.21601442505879465
257,0.11630572897003139,0.1585402958270266
258,0.15424263376667194,0.20976591928449467
259,0.13652357105000593,0.18465499757416756
260,0.11624769496010595,0.15649122268405025
261,0.14028137968846904,0.20105000052215732
262,0.14653412094586565,0.1918590420932507
263,0.13656481013637023,0.17650084895454682
264,0.13741199683910263,0.17858489925644266
265,0.12154835434854841,0.16969499326070311
266,0.12580364692777904,0.1744020472979999
267,0.1791400408706108,0.2124611821169534
268,0.13849582164430965,0.17929590688855998
269,0.15571932281286313,0.2016006116710065
270,0.17847697639388727,0.22758303408065556
271,0.14175325209049544,0.1900221458431282
272,0.14516514439558656,0.19590745393314496
273,0.11383369249735498,0.16199437283604573
274,0.13969429559244195,0.18057722006804985
275,0.12881590948659036,0.1732217538562975
276,0.11187302756400706,0.1461892994926137
277,0.1181681764444121,0.15380807570572366
278,0.11687226177270758,0.15095427101853467
279,0.13378644593062977,0.1721439481441692
280,0.10711415434012363,0.1471525821951449
281,0.12007613914745514,0.170862513375301
282,0.11748400620972019,0.1724866100323642
283,0.06489792583632534,0.11218287738562537
284,0.09708916751069895,0.14805696670113888
285,0.14089508147566734,0.19450130335664076
286,0.08804689981244414,0.11964397784894415
287,0.13111852153548806,0.1804913981983561
288,0.13177661239414404,0.17435715443369135
289,0.1101492084733239,0.17550465051924422
290,0.09213308621569558,0.1822100794756204
291,0.08686804125069088,0.15740202901597702
292,0.11500960726319905,0.1680791424888752
293,0.11150291857116415,0.17418532334688996
294,0.1288844375326683,0.19004042401559632
295,0.15847079677850542,0.24451708470677738
296,0.11166570465844773,0.16698469640229563
297,0.11395242835438042,0.15228011179944417
298,0.09059658232304027,0.1343374761066501
299,0.10479013199891868,0.14057658624124353
300,0.20565664236357917,0.2723072793020449
301,0.1372807645050265,0.20020114441167333
302,0.13381470918403215,0.1839938278770033
303,0.1015615120989129,0.16923456841091028
304,0.13321019621027025,0.20341652821075465
305,0.10295980753105242,0.13925390537796417
306,0.14279787844969458,0.18881877622080798
307,0.11082993463400667,0.14062246312788731
308,0.07150948886995093,0.09780837294394196
309,0.13162840853482619,0.17805989406024827
310,0.10697659274229519,0.13599307787987536
311,0.11248277587947632,0.14959990463995804
312,0.11376411385815764,0.1584182031581983
313,0.13360665211604958,0.1651825832944682
314,0.10512160906107239,0.13348378446736264
315,0.10352811958198557,0.14289468035692648
316,0.07913830304993498,0.09941190199326017
317,0.10193094007299423,0.130623803559894
318,0.11093414075480204,0.1505001261503984
319,0.10604571891777559,0.14304082299960477
320,0.12853108511205055,0.1740043139475905
321,0.12078747060342737,0.1784415512573075
322,0.13081134924647472,0.1658002353587944
323,0.13954897536740535,0.19950453000233195
324,0.13212582940591122,0.18268835002965925
